Timestamp,Step,train_loss,val_loss,perplexity,time_ms,tokens_per_second,learning_rate
2025-04-02T01:56:33,17,NA,NA,NA,1039.378410,NA,NA
2025-04-02T01:56:33,17,NA,NA,NA,NA,246.301056,NA
2025-04-02T01:56:33,17,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:34,18,6.941961,NA,NA,NA,NA,NA
2025-04-02T01:56:34,18,NA,NA,1034.797241,NA,NA,NA
2025-04-02T01:56:34,18,NA,NA,NA,998.357232,NA,NA
2025-04-02T01:56:34,18,NA,NA,NA,NA,256.421234,NA
2025-04-02T01:56:34,18,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:35,19,6.753073,NA,NA,NA,NA,NA
2025-04-02T01:56:35,19,NA,NA,856.687500,NA,NA,NA
2025-04-02T01:56:35,19,NA,NA,NA,1071.449537,NA,NA
2025-04-02T01:56:35,19,NA,NA,NA,NA,238.928665,NA
2025-04-02T01:56:35,19,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:36,20,NA,6.970346,NA,NA,NA,NA
2025-04-02T01:56:37,20,6.713393,NA,NA,NA,NA,NA
2025-04-02T01:56:37,20,NA,NA,823.359375,NA,NA,NA
2025-04-02T01:56:37,20,NA,NA,NA,1180.792782,NA,NA
2025-04-02T01:56:37,20,NA,NA,NA,NA,216.803497,NA
2025-04-02T01:56:37,20,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:38,21,6.628999,NA,NA,NA,NA,NA
2025-04-02T01:56:38,21,NA,NA,756.724121,NA,NA,NA
2025-04-02T01:56:38,21,NA,NA,NA,1046.725146,NA,NA
2025-04-02T01:56:38,21,NA,NA,NA,NA,244.572327,NA
2025-04-02T01:56:38,21,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:39,22,6.797928,NA,NA,NA,NA,NA
2025-04-02T01:56:39,22,NA,NA,895.989197,NA,NA,NA
2025-04-02T01:56:39,22,NA,NA,NA,872.377260,NA,NA
2025-04-02T01:56:39,22,NA,NA,NA,NA,293.451019,NA
2025-04-02T01:56:39,22,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:40,23,6.701267,NA,NA,NA,NA,NA
2025-04-02T01:56:40,23,NA,NA,813.435608,NA,NA,NA
2025-04-02T01:56:40,23,NA,NA,NA,902.035601,NA,NA
2025-04-02T01:56:40,23,NA,NA,NA,NA,283.802551,NA
2025-04-02T01:56:40,23,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:41,24,6.810865,NA,NA,NA,NA,NA
2025-04-02T01:56:41,24,NA,NA,907.655518,NA,NA,NA
2025-04-02T01:56:41,24,NA,NA,NA,935.520451,NA,NA
2025-04-02T01:56:41,24,NA,NA,NA,NA,273.644470,NA
2025-04-02T01:56:41,24,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:42,25,6.624681,NA,NA,NA,NA,NA
2025-04-02T01:56:42,25,NA,NA,753.463806,NA,NA,NA
2025-04-02T01:56:42,25,NA,NA,NA,884.078813,NA,NA
2025-04-02T01:56:42,25,NA,NA,NA,NA,289.566956,NA
2025-04-02T01:56:42,25,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:43,26,6.987570,NA,NA,NA,NA,NA
2025-04-02T01:56:43,26,NA,NA,1083.086670,NA,NA,NA
2025-04-02T01:56:43,26,NA,NA,NA,948.843875,NA,NA
2025-04-02T01:56:43,26,NA,NA,NA,NA,269.802032,NA
2025-04-02T01:56:43,26,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:44,27,6.606267,NA,NA,NA,NA,NA
2025-04-02T01:56:44,27,NA,NA,739.716492,NA,NA,NA
2025-04-02T01:56:44,27,NA,NA,NA,801.261910,NA,NA
2025-04-02T01:56:44,27,NA,NA,NA,NA,319.496033,NA
2025-04-02T01:56:44,27,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:45,28,6.793200,NA,NA,NA,NA,NA
2025-04-02T01:56:45,28,NA,NA,891.763062,NA,NA,NA
2025-04-02T01:56:45,28,NA,NA,NA,833.621349,NA,NA
2025-04-02T01:56:45,28,NA,NA,NA,NA,307.093872,NA
2025-04-02T01:56:45,28,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:45,29,6.457756,NA,NA,NA,NA,NA
2025-04-02T01:56:45,29,NA,NA,637.628357,NA,NA,NA
2025-04-02T01:56:45,29,NA,NA,NA,845.341087,NA,NA
2025-04-02T01:56:45,29,NA,NA,NA,NA,302.836334,NA
2025-04-02T01:56:45,29,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:47,30,NA,6.838654,NA,NA,NA,NA
2025-04-02T01:56:48,30,6.735326,NA,NA,NA,NA,NA
2025-04-02T01:56:48,30,NA,NA,841.618042,NA,NA,NA
2025-04-02T01:56:48,30,NA,NA,NA,910.469927,NA,NA
2025-04-02T01:56:48,30,NA,NA,NA,NA,281.173492,NA
2025-04-02T01:56:48,30,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:49,31,6.655419,NA,NA,NA,NA,NA
2025-04-02T01:56:49,31,NA,NA,776.983704,NA,NA,NA
2025-04-02T01:56:49,31,NA,NA,NA,958.321371,NA,NA
