Timestamp,Step,train_loss,val_loss,time_ms,tokens_per_second,learning_rate
2025-03-28T13:54:21,23,NA,NA,NA,NA,0.000995
2025-03-28T13:54:50,24,18.387285,NA,NA,NA,NA
2025-03-28T13:54:50,24,NA,NA,27130.961414,NA,NA
2025-03-28T13:54:50,24,NA,NA,NA,9.435715,NA
2025-03-28T13:54:50,24,NA,NA,NA,NA,0.000994
2025-03-28T13:55:18,25,16.248947,NA,NA,NA,NA
2025-03-28T13:55:18,25,NA,NA,26985.875873,NA,NA
2025-03-28T13:55:18,25,NA,NA,NA,9.486444,NA
2025-03-28T13:55:18,25,NA,NA,NA,NA,0.000994
2025-03-28T13:55:46,26,18.508541,NA,NA,NA,NA
2025-03-28T13:55:46,26,NA,NA,26902.179889,NA,NA
2025-03-28T13:55:46,26,NA,NA,NA,9.515958,NA
2025-03-28T13:55:46,26,NA,NA,NA,NA,0.000993
2025-03-28T13:56:14,27,19.827486,NA,NA,NA,NA
2025-03-28T13:56:14,27,NA,NA,27044.096008,NA,NA
2025-03-28T13:56:14,27,NA,NA,NA,9.466022,NA
2025-03-28T13:56:14,27,NA,NA,NA,NA,0.000993
2025-03-28T13:56:42,28,17.534426,NA,NA,NA,NA
2025-03-28T13:56:42,28,NA,NA,27087.484498,NA,NA
2025-03-28T13:56:42,28,NA,NA,NA,9.450859,NA
2025-03-28T13:56:42,28,NA,NA,NA,NA,0.000992
2025-03-28T13:57:08,29,18.666916,NA,NA,NA,NA
2025-03-28T13:57:08,29,NA,NA,26727.494343,NA,NA
2025-03-28T13:57:08,29,NA,NA,NA,9.578152,NA
2025-03-28T13:57:08,29,NA,NA,NA,NA,0.000992
2025-03-28T13:57:49,30,NA,17.599991,NA,NA,NA
2025-03-28T13:58:17,30,17.845713,NA,NA,NA,NA
2025-03-28T13:58:17,30,NA,NA,27425.981255,NA,NA
2025-03-28T13:58:17,30,NA,NA,NA,9.334215,NA
2025-03-28T13:58:17,30,NA,NA,NA,NA,0.000991
2025-03-28T13:58:45,31,19.104286,NA,NA,NA,NA
2025-03-28T13:58:45,31,NA,NA,26986.932315,NA,NA
2025-03-28T13:58:45,31,NA,NA,NA,9.486073,NA
2025-03-28T13:58:45,31,NA,NA,NA,NA,0.000991
2025-03-28T13:59:13,32,17.686598,NA,NA,NA,NA
2025-03-28T13:59:13,32,NA,NA,26870.553262,NA,NA
2025-03-28T13:59:13,32,NA,NA,NA,9.527158,NA
2025-03-28T13:59:13,32,NA,NA,NA,NA,0.000990
2025-03-28T13:59:40,33,17.606155,NA,NA,NA,NA
2025-03-28T13:59:40,33,NA,NA,26907.252097,NA,NA
2025-03-28T13:59:40,33,NA,NA,NA,9.514164,NA
2025-03-28T13:59:40,33,NA,NA,NA,NA,0.000989
2025-03-28T14:00:08,34,17.453547,NA,NA,NA,NA
2025-03-28T14:00:08,34,NA,NA,26964.560555,NA,NA
2025-03-28T14:00:08,34,NA,NA,NA,9.493943,NA
2025-03-28T14:00:08,34,NA,NA,NA,NA,0.000989
2025-03-28T14:00:36,35,18.577116,NA,NA,NA,NA
2025-03-28T14:00:36,35,NA,NA,26838.612004,NA,NA
2025-03-28T14:00:36,35,NA,NA,NA,9.538496,NA
2025-03-28T14:00:36,35,NA,NA,NA,NA,0.000988
2025-03-28T14:01:03,36,17.935413,NA,NA,NA,NA
2025-03-28T14:01:03,36,NA,NA,26720.181755,NA,NA
2025-03-28T14:01:03,36,NA,NA,NA,9.580773,NA
2025-03-28T14:01:03,36,NA,NA,NA,NA,0.000987
2025-03-28T14:01:31,37,18.476477,NA,NA,NA,NA
2025-03-28T14:01:31,37,NA,NA,27368.833302,NA,NA
2025-03-28T14:01:31,37,NA,NA,NA,9.353705,NA
2025-03-28T14:01:31,37,NA,NA,NA,NA,0.000987
2025-03-28T14:01:59,38,17.837492,NA,NA,NA,NA
2025-03-28T14:01:59,38,NA,NA,26757.555992,NA,NA
2025-03-28T14:01:59,38,NA,NA,NA,9.567391,NA
2025-03-28T14:01:59,38,NA,NA,NA,NA,0.000986
2025-03-28T14:02:27,39,18.539631,NA,NA,NA,NA
2025-03-28T14:02:27,39,NA,NA,26848.035432,NA,NA
2025-03-28T14:02:27,39,NA,NA,NA,9.535149,NA
2025-03-28T14:02:27,39,NA,NA,NA,NA,0.000985
2025-03-28T14:03:06,40,NA,17.399994,NA,NA,NA
2025-03-28T14:12:00,40,18.589603,NA,NA,NA,NA
2025-03-28T14:12:00,40,NA,NA,26885.050160,NA,NA
2025-03-28T14:12:00,40,NA,NA,NA,9.522020,NA
2025-03-28T14:12:00,40,NA,NA,NA,NA,0.000984
2025-03-28T14:12:30,41,19.362097,NA,NA,NA,NA
2025-03-28T14:12:30,41,NA,NA,28726.213367,NA,NA
2025-03-28T14:12:30,41,NA,NA,NA,8.911721,NA
2025-03-28T14:12:30,41,NA,NA,NA,NA,0.000984
2025-03-28T14:12:59,42,18.121134,NA,NA,NA,NA
2025-03-28T14:12:59,42,NA,NA,27588.194744,NA,NA
2025-03-28T14:12:59,42,NA,NA,NA,9.279331,NA
2025-03-28T14:12:59,42,NA,NA,NA,NA,0.000983
2025-03-28T14:13:28,43,18.109453,NA,NA,NA,NA
2025-03-28T14:13:28,43,NA,NA,27974.692792,NA,NA
2025-03-28T14:13:28,43,NA,NA,NA,9.151128,NA
2025-03-28T14:13:28,43,NA,NA,NA,NA,0.000982
2025-03-28T14:13:57,44,18.782415,NA,NA,NA,NA
2025-03-28T14:13:57,44,NA,NA,27458.562581,NA,NA
2025-03-28T14:13:57,44,NA,NA,NA,9.323139,NA
2025-03-28T14:13:57,44,NA,NA,NA,NA,0.000981
2025-03-28T14:14:24,45,19.540085,NA,NA,NA,NA
2025-03-28T14:14:24,45,NA,NA,26984.114774,NA,NA
2025-03-28T14:14:24,45,NA,NA,NA,9.487063,NA
2025-03-28T14:14:24,45,NA,NA,NA,NA,0.000980
2025-03-28T14:14:52,46,18.065844,NA,NA,NA,NA
2025-03-28T14:14:52,46,NA,NA,27326.958332,NA,NA
2025-03-28T14:14:52,46,NA,NA,NA,9.368038,NA
2025-03-28T14:14:52,46,NA,NA,NA,NA,0.000979
2025-03-28T14:15:20,47,16.815065,NA,NA,NA,NA
2025-03-28T14:15:20,47,NA,NA,26730.715733,NA,NA
2025-03-28T14:15:20,47,NA,NA,NA,9.576998,NA
2025-03-28T14:15:20,47,NA,NA,NA,NA,0.000978
2025-03-28T14:15:48,48,18.587454,NA,NA,NA,NA
2025-03-28T14:15:48,48,NA,NA,26869.242339,NA,NA
2025-03-28T14:15:48,48,NA,NA,NA,9.527622,NA
2025-03-28T14:15:48,48,NA,NA,NA,NA,0.000977
2025-03-28T14:16:17,49,18.451790,NA,NA,NA,NA
2025-03-28T14:16:17,49,NA,NA,27301.241438,NA,NA
2025-03-28T14:16:17,49,NA,NA,NA,9.376863,NA
2025-03-28T14:16:17,49,NA,NA,NA,NA,0.000976
2025-03-28T14:16:56,50,NA,17.599991,NA,NA,NA
2025-03-28T14:17:25,50,17.378878,NA,NA,NA,NA
2025-03-28T14:17:25,50,NA,NA,26966.950609,NA,NA
2025-03-28T14:17:25,50,NA,NA,NA,9.493101,NA
2025-03-28T14:17:25,50,NA,NA,NA,NA,0.000976
2025-03-28T14:17:53,51,19.317829,NA,NA,NA,NA
2025-03-28T14:17:53,51,NA,NA,26868.472053,NA,NA
2025-03-28T14:17:53,51,NA,NA,NA,9.527896,NA
2025-03-28T14:17:53,51,NA,NA,NA,NA,0.000975
